night,total_epochs,duration_hours,rem_epochs_total,rem_episodes_count,rem_percentage,roc_auc,pr_auc,optimal_threshold,original_accuracy,optimized_accuracy,precision,recall,specificity,f1_score,true_positives,false_positives,true_negatives,false_negatives,mean_rem_probability,rem_prob_when_true,rem_prob_when_false,yasa_rem_predicted,yasa_rem_optimized
1,746,6.216666666666667,29,3,3.8873994638069704,0.8081565911604867,0.08913915769345655,0.1079131358373343,0.903485254691689,0.7479892761394102,0.11961722488038277,0.8620689655172413,0.7433751743375174,0.21008403361344538,25,184,533,4,0.09435113681251643,0.1782372974165555,0.09095825165558878,49,209
2,508,4.233333333333333,104,3,20.47244094488189,0.7190118050266565,0.45366342197791476,0.11948203585734846,0.8208661417322834,0.7165354330708661,0.3684210526315789,0.5384615384615384,0.7623762376237624,0.4375,56,96,308,48,0.12200560700445863,0.24844917651977788,0.0894557772282378,53,152
3,803,6.691666666666666,27,4,3.3623910336239105,0.8572451317296678,0.10587788226260739,0.09772387431811558,0.8331257783312578,0.7073474470734745,0.10305343511450382,1.0,0.6971649484536082,0.18685121107266436,27,235,541,0,0.15626887090653296,0.46391217083673364,0.14556478701720896,135,262
4,828,6.9,30,5,3.6231884057971016,0.8365079365079365,0.12722227459443206,0.08636515203027986,0.856280193236715,0.716183574879227,0.10424710424710425,0.9,0.7092731829573935,0.18685121107266436,27,232,566,3,0.12170774097128509,0.3570647298275492,0.11285973387142555,123,259
5,660,5.5,92,4,13.939393939393941,0.6536474280465401,0.18350287709556495,0.033017151897641664,0.7606060606060606,0.5757575757575758,0.2080745341614907,0.7282608695652174,0.551056338028169,0.32367149758454106,67,255,313,25,0.13356629508736267,0.17025481533295564,0.12762378828702012,94,322
6,499,4.158333333333333,54,2,10.821643286573146,0.6756970453599667,0.1711270009354497,0.06831826620051339,0.7975951903807615,0.6392785571142284,0.185,0.6851851851851852,0.6337078651685393,0.2913385826771654,37,163,282,17,0.15988850216861397,0.27257876892483024,0.14621372822516301,89,200
7,750,6.25,136,5,18.133333333333333,0.9375,0.7504103471727925,0.16369979434968587,0.8866666666666667,0.8786666666666667,0.6108374384236454,0.9117647058823529,0.8713355048859935,0.7315634218289085,124,79,535,12,0.1719987409099832,0.5778739522390992,0.08209804263513015,151,203
8,725,6.041666666666667,113,2,15.586206896551724,0.5536034472786164,0.170498685492538,0.0018528416560765824,0.6937931034482758,0.4262068965517241,0.1988071570576541,0.8849557522123894,0.3415032679738562,0.3246753246753247,100,403,209,13,0.2083114996373978,0.20660381559513885,0.20862680731186722,167,503
9,1046,8.716666666666667,203,5,19.407265774378583,0.9754804854817125,0.9164277882298836,0.44047811607497,0.9225621414913958,0.9369024856596558,0.8071748878923767,0.8866995073891626,0.9489916963226572,0.8450704225352114,180,43,800,23,0.2150598968636654,0.8085624939857223,0.0721405288734192,236,223
10,1099,9.158333333333333,205,6,18.653321201091902,0.8980247721940308,0.6012089542770669,0.09909245980759566,0.824385805277525,0.7807097361237488,0.4563106796116505,0.9170731707317074,0.7494407158836689,0.6094003241491086,188,224,670,17,0.24363437944825564,0.6755049593703141,0.14460365362720198,296,412
