night,target_fpr,threshold_value,actual_fpr,tpr_recall,precision,specificity,accuracy,f1_score,true_positives,false_positives,true_negatives,false_negatives,total_rem_epochs,total_non_rem_epochs,predicted_rem_epochs
1,FPR_10,0.5449389799555953,0.015341701534170154,0.0,0.0,0.9846582984658299,0.9463806970509383,0.0,0,11,706,29,29,717,11
1,FPR_5,0.7786232768095845,0.0041841004184100415,0.0,0.0,0.99581589958159,0.9571045576407506,0.0,0,3,714,29,29,717,3
2,FPR_10,0.5449389799555953,0.022277227722772276,0.18269230769230768,0.6785714285714286,0.9777227722772277,0.8149606299212598,0.28787878787878785,19,9,395,85,104,404,28
2,FPR_5,0.7786232768095845,0.0049504950495049506,0.057692307692307696,0.75,0.995049504950495,0.8031496062992126,0.10714285714285714,6,2,402,98,104,404,8
3,FPR_10,0.5449389799555953,0.10438144329896908,0.3333333333333333,0.1,0.895618556701031,0.8767123287671232,0.15384615384615383,9,81,695,18,27,776,90
3,FPR_5,0.7786232768095845,0.05412371134020619,0.2962962962962963,0.16,0.9458762886597938,0.9240348692403487,0.20779220779220778,8,42,734,19,27,776,50
4,FPR_10,0.5449389799555953,0.06140350877192982,0.26666666666666666,0.14035087719298245,0.9385964912280702,0.9142512077294686,0.1839080459770115,8,49,749,22,30,798,57
4,FPR_5,0.7786232768095845,0.007518796992481203,0.03333333333333333,0.14285714285714285,0.9924812030075187,0.9577294685990339,0.05405405405405406,1,6,792,29,30,798,7
5,FPR_10,0.5449389799555953,0.0880281690140845,0.05434782608695652,0.09090909090909091,0.9119718309859155,0.7924242424242425,0.06802721088435375,5,50,518,87,92,568,55
5,FPR_5,0.7786232768095845,0.02112676056338028,0.010869565217391304,0.07692307692307693,0.9788732394366197,0.843939393939394,0.01904761904761905,1,12,556,91,92,568,13
6,FPR_10,0.5449389799555953,0.10112359550561797,0.2777777777777778,0.25,0.898876404494382,0.8316633266533067,0.2631578947368421,15,45,400,39,54,445,60
6,FPR_5,0.7786232768095845,0.03146067415730337,0.0,0.0,0.9685393258426966,0.8637274549098196,0.0,0,14,431,54,54,445,14
7,FPR_10,0.5449389799555953,0.06026058631921824,0.6544117647058824,0.7063492063492064,0.9397394136807817,0.888,0.6793893129770993,89,37,577,47,136,614,126
7,FPR_5,0.7786232768095845,0.008143322475570033,0.25,0.8717948717948718,0.99185667752443,0.8573333333333333,0.38857142857142857,34,5,609,102,136,614,39
8,FPR_10,0.5449389799555953,0.184640522875817,0.1592920353982301,0.13740458015267176,0.815359477124183,0.713103448275862,0.14754098360655737,18,113,499,95,113,612,131
8,FPR_5,0.7786232768095845,0.119281045751634,0.08849557522123894,0.12048192771084337,0.880718954248366,0.7572413793103449,0.10204081632653061,10,73,539,103,113,612,83
9,FPR_10,0.5449389799555953,0.04151838671411625,0.8472906403940886,0.8309178743961353,0.9584816132858838,0.9369024856596558,0.8390243902439024,172,35,808,31,203,843,207
9,FPR_5,0.7786232768095845,0.01542111506524318,0.7389162561576355,0.9202453987730062,0.9845788849347569,0.9369024856596558,0.8196721311475409,150,13,830,53,203,843,163
10,FPR_10,0.5449389799555953,0.12751677852348994,0.6878048780487804,0.5529411764705883,0.87248322147651,0.83803457688808,0.6130434782608696,141,114,780,64,205,894,255
10,FPR_5,0.7786232768095845,0.06823266219239374,0.551219512195122,0.6494252873563219,0.9317673378076062,0.8607825295723385,0.5963060686015832,113,61,833,92,205,894,174
11,FPR_10,0.5449389799555953,0.1686046511627907,0.8023255813953488,0.372972972972973,0.8313953488372093,0.8281653746770026,0.5092250922509225,69,116,572,17,86,688,185
11,FPR_5,0.7786232768095845,0.13372093023255813,0.7325581395348837,0.4064516129032258,0.8662790697674418,0.851421188630491,0.5228215767634854,63,92,596,23,86,688,155
12,FPR_10,0.5449389799555953,0.17319277108433734,0.45517241379310347,0.36464088397790057,0.8268072289156626,0.7601977750309024,0.40490797546012275,66,115,549,79,145,664,181
12,FPR_5,0.7786232768095845,0.15512048192771086,0.23448275862068965,0.24817518248175183,0.8448795180722891,0.7354758961681088,0.24113475177304966,34,103,561,111,145,664,137
13,FPR_10,0.5449389799555953,0.2196969696969697,0.34579439252336447,0.17535545023696683,0.7803030303030303,0.728587319243604,0.23270440251572327,37,174,618,70,107,792,211
