dataset_name,window_start_sample,window_end_sample,true_label,predicted_label,prediction_score
lstm_training_data.npz_lrlr_bilstm_model_sample_0,0,1,1,1,0.5257610082626343
lstm_training_data.npz_lrlr_bilstm_model_sample_1,1,2,1,1,0.68058842420578
lstm_training_data.npz_lrlr_bilstm_model_sample_2,2,3,1,1,0.6965510845184326
lstm_training_data.npz_lrlr_bilstm_model_sample_3,3,4,0,1,0.5183412432670593
lstm_training_data.npz_lrlr_bilstm_model_sample_4,4,5,0,0,0.47556033730506897
lstm_training_data.npz_lrlr_bilstm_model_sample_5,5,6,0,1,0.5189546942710876
lstm_training_data.npz_lrlr_bilstm_model_sample_6,6,7,0,0,0.3053187131881714
lstm_training_data.npz_lrlr_bilstm_model_sample_7,7,8,0,0,0.4499503970146179
lstm_training_data.npz_lrlr_bilstm_model_sample_8,8,9,0,1,0.5490617752075195
lstm_training_data.npz_lrlr_bilstm_model_sample_9,9,10,0,1,0.517988920211792
lstm_training_data.npz_lrlr_bilstm_model_sample_10,10,11,0,0,0.4402335286140442
lstm_training_data.npz_lrlr_bilstm_model_sample_11,11,12,0,1,0.6129356026649475
lstm_training_data.npz_lrlr_bilstm_model_sample_12,12,13,1,1,0.5253742933273315
lstm_training_data.npz_lrlr_bilstm_model_sample_13,13,14,0,0,0.42850613594055176
lstm_training_data.npz_lrlr_bilstm_model_sample_14,14,15,0,1,0.515600860118866
lstm_training_data.npz_lrlr_bilstm_model_sample_15,15,16,0,1,0.5163061022758484
lstm_training_data.npz_lrlr_bilstm_model_sample_16,16,17,0,1,0.5260208249092102
lstm_training_data.npz_lrlr_bilstm_model_sample_17,17,18,0,1,0.5562458634376526
lstm_training_data.npz_lrlr_bilstm_model_sample_18,18,19,1,1,0.5604054927825928
lstm_training_data.npz_lrlr_bilstm_model_sample_19,19,20,1,0,0.46428775787353516
lstm_training_data.npz_lrlr_bilstm_model_sample_20,20,21,1,1,0.5790837407112122
lstm_training_data.npz_lrlr_bilstm_model_sample_21,21,22,1,0,0.4495822489261627
lstm_training_data.npz_lrlr_bilstm_model_sample_22,22,23,0,1,0.5211222767829895
lstm_training_data.npz_lrlr_bilstm_model_sample_23,23,24,0,0,0.4132669270038605
lstm_training_data.npz_lrlr_bilstm_model_sample_24,24,25,0,0,0.4812036156654358
lstm_training_data.npz_lrlr_bilstm_model_sample_25,25,26,0,0,0.4982326030731201
lstm_training_data.npz_lrlr_bilstm_model_sample_26,26,27,0,0,0.4982622563838959
lstm_training_data.npz_lrlr_bilstm_model_sample_27,27,28,0,0,0.4407082498073578
lstm_training_data.npz_lrlr_bilstm_model_sample_28,28,29,0,0,0.3639431893825531
lstm_training_data.npz_lrlr_bilstm_model_sample_29,29,30,0,0,0.49860715866088867
lstm_training_data.npz_lrlr_bilstm_model_sample_30,30,31,0,0,0.42544201016426086
lstm_training_data.npz_lrlr_bilstm_model_sample_31,31,32,0,0,0.3679577708244324
lstm_training_data.npz_lrlr_bilstm_model_sample_32,32,33,0,1,0.5653179287910461
lstm_training_data.npz_lrlr_bilstm_model_sample_33,33,34,0,0,0.49547168612480164
lstm_training_data.npz_lrlr_bilstm_model_sample_34,34,35,0,1,0.5593686103820801
lstm_training_data.npz_lrlr_bilstm_model_sample_35,35,36,0,1,0.5059098601341248
lstm_training_data.npz_lrlr_bilstm_model_sample_36,36,37,0,0,0.4178253710269928
lstm_training_data.npz_lrlr_bilstm_model_sample_37,37,38,0,0,0.2742559015750885
lstm_training_data.npz_lrlr_bilstm_model_sample_38,38,39,0,1,0.5170146822929382
lstm_training_data.npz_lrlr_bilstm_model_sample_39,39,40,0,1,0.543698787689209
lstm_training_data.npz_lrlr_bilstm_model_sample_40,40,41,0,1,0.5543959140777588
lstm_training_data.npz_lrlr_bilstm_model_sample_41,41,42,0,1,0.5877398252487183
lstm_training_data.npz_lrlr_bilstm_model_sample_42,42,43,0,0,0.39260339736938477
lstm_training_data.npz_lrlr_bilstm_model_sample_43,43,44,0,1,0.5729624629020691
lstm_training_data.npz_lrlr_bilstm_model_sample_44,44,45,0,1,0.5234884023666382
lstm_training_data.npz_lrlr_bilstm_model_sample_45,45,46,0,0,0.40361014008522034
lstm_training_data.npz_lrlr_bilstm_model_sample_46,46,47,0,0,0.44193780422210693
lstm_training_data.npz_lrlr_bilstm_model_sample_47,47,48,0,0,0.3877946138381958
lstm_training_data.npz_lrlr_bilstm_model_sample_48,48,49,1,0,0.5
lstm_training_data.npz_lrlr_bilstm_model_sample_49,49,50,1,1,0.5718501210212708
lstm_training_data.npz_lrlr_bilstm_model_sample_50,50,51,1,1,0.7356595396995544
lstm_training_data.npz_lrlr_bilstm_model_sample_51,51,52,1,1,0.6912547945976257
lstm_training_data.npz_lrlr_bilstm_model_sample_52,52,53,1,0,0.4871715307235718
lstm_training_data.npz_lrlr_bilstm_model_sample_53,53,54,0,1,0.5583869814872742
lstm_training_data.npz_lrlr_bilstm_model_sample_54,54,55,0,1,0.519635021686554
lstm_training_data.npz_lrlr_bilstm_model_sample_55,55,56,0,0,0.4765110909938812
lstm_training_data.npz_lrlr_bilstm_model_sample_56,56,57,0,1,0.5621410608291626
lstm_training_data.npz_lrlr_bilstm_model_sample_57,57,58,0,0,0.35226401686668396
lstm_training_data.npz_lrlr_bilstm_model_sample_58,58,59,0,0,0.4558091163635254
