dataset_name,window_start_sample,window_end_sample,true_label,predicted_label,prediction_score
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_0,0,1,1,0,0.4041450023651123
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_1,1,2,1,0,0.46224603056907654
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_2,2,3,1,0,0.4485372006893158
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_3,3,4,0,0,0.410041481256485
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_4,4,5,0,0,0.41491183638572693
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_5,5,6,0,0,0.4216235280036926
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_6,6,7,0,0,0.3897710144519806
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_7,7,8,0,0,0.1900685578584671
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_8,8,9,0,0,0.4160032570362091
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_9,9,10,0,0,0.4667309820652008
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_10,10,11,0,0,0.38919198513031006
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_11,11,12,0,0,0.3859722316265106
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_12,12,13,1,0,0.47835737466812134
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_13,13,14,0,0,0.40211212635040283
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_14,14,15,0,0,0.4417998790740967
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_15,15,16,0,0,0.3859330415725708
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_16,16,17,0,0,0.40948647260665894
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_17,17,18,0,0,0.41973915696144104
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_18,18,19,1,0,0.40578994154930115
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_19,19,20,1,0,0.4616457223892212
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_20,20,21,1,0,0.4224018156528473
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_21,21,22,1,0,0.46890202164649963
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_22,22,23,0,0,0.37931621074676514
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_23,23,24,0,0,0.4240405559539795
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_24,24,25,0,0,0.370216429233551
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_25,25,26,0,0,0.392579585313797
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_26,26,27,0,0,0.4110769033432007
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_27,27,28,0,0,0.3971720337867737
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_28,28,29,0,0,0.4304107427597046
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_29,29,30,0,0,0.4772641062736511
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_30,30,31,0,0,0.3745310306549072
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_31,31,32,0,0,0.43475058674812317
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_32,32,33,0,0,0.477663516998291
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_33,33,34,0,0,0.4483417272567749
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_34,34,35,0,0,0.3871939778327942
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_35,35,36,0,0,0.3906604051589966
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_36,36,37,0,0,0.32848140597343445
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_37,37,38,0,0,0.4172424376010895
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_38,38,39,0,0,0.3646049201488495
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_39,39,40,0,0,0.4504724144935608
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_40,40,41,0,0,0.41811850666999817
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_41,41,42,0,0,0.3330838978290558
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_42,42,43,0,0,0.38801267743110657
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_43,43,44,0,0,0.36327534914016724
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_44,44,45,0,0,0.41346442699432373
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_45,45,46,0,0,0.3443809747695923
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_46,46,47,0,0,0.3921511471271515
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_47,47,48,0,0,0.4368272125720978
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_48,48,49,1,0,0.5
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_49,49,50,1,0,0.3754007816314697
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_50,50,51,1,0,0.3249824047088623
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_51,51,52,1,0,0.33629876375198364
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_52,52,53,1,0,0.36689019203186035
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_53,53,54,0,0,0.2420068085193634
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_54,54,55,0,0,0.40962710976600647
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_55,55,56,0,0,0.4536342918872833
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_56,56,57,0,0,0.418983519077301
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_57,57,58,0,0,0.3330800533294678
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_58,58,59,0,0,0.38712766766548157
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_59,59,60,0,0,0.3942207992076874
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_60,60,61,0,0,0.43438929319381714
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_61,61,62,0,0,0.3683677017688751
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_62,62,63,0,0,0.3496033847332001
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_63,63,64,0,0,0.36428579688072205
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_64,64,65,0,0,0.3915729820728302
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_65,65,66,0,0,0.4260951578617096
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_66,66,67,0,0,0.36863887310028076
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_67,67,68,0,0,0.3754495084285736
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_68,68,69,0,0,0.3534753918647766
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_69,69,70,0,0,0.36792096495628357
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_70,70,71,0,0,0.43843069672584534
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_71,71,72,0,0,0.40213486552238464
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_72,72,73,0,0,0.3626081645488739
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_73,73,74,0,0,0.3761553168296814
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_74,74,75,0,0,0.30350103974342346
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_75,75,76,0,0,0.44066470861434937
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_76,76,77,0,0,0.3882085680961609
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_77,77,78,0,0,0.3312973082065582
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_78,78,79,1,0,0.3535405397415161
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_79,79,80,1,0,0.43973755836486816
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_80,80,81,1,0,0.396632581949234
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_81,81,82,1,0,0.4406185448169708
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_82,82,83,0,0,0.2892761528491974
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_83,83,84,0,0,0.4086766839027405
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_84,84,85,0,0,0.3290071487426758
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_85,85,86,0,0,0.3668251931667328
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_86,86,87,0,0,0.37119314074516296
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_87,87,88,0,0,0.3317093849182129
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_88,88,89,0,0,0.3758460283279419
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_89,89,90,0,0,0.34836211800575256
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_90,90,91,0,0,0.4397149980068207
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_91,91,92,0,0,0.4358002245426178
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_92,92,93,0,0,0.4286120533943176
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_93,93,94,0,0,0.46108880639076233
lstm_training_data.npz_lrlr_lstm_model_fold__final_all_data_sample_94,94,95,0,0,0.4109490215778351
