night,total_epochs,rem_epochs,conf_70_tp,conf_70_fp,conf_70_precision,conf_70_recall,conf_70_accuracy,conf_70_f1,conf_70_detections,conf_80_tp,conf_80_fp,conf_80_precision,conf_80_recall,conf_80_accuracy,conf_80_f1,conf_80_detections
1,746,29,0,23,0.0,0.0,0.9302949061662198,0.0,23,0,8,0.0,0.0,0.9504021447721179,0.0,8
2,508,104,25,16,0.6097560975609756,0.2403846153846154,0.812992125984252,0.3448275862068965,41,16,3,0.8421052631578947,0.15384615384615385,0.8208661417322834,0.2601626016260163,19
3,803,27,11,107,0.09322033898305085,0.4074074074074074,0.8468244084682441,0.15172413793103448,118,9,65,0.12162162162162163,0.3333333333333333,0.8966376089663761,0.1782178217821782,74
4,828,30,11,79,0.12222222222222222,0.36666666666666664,0.8816425120772947,0.18333333333333332,90,8,33,0.1951219512195122,0.26666666666666666,0.9335748792270532,0.22535211267605634,41
5,660,92,10,73,0.12048192771084337,0.10869565217391304,0.7651515151515151,0.11428571428571428,83,4,32,0.1111111111111111,0.043478260869565216,0.8181818181818182,0.0625,36
6,499,54,19,63,0.23170731707317074,0.35185185185185186,0.8036072144288577,0.27941176470588236,82,8,36,0.18181818181818182,0.14814814814814814,0.8356713426853707,0.16326530612244897,44
7,750,136,99,46,0.6827586206896552,0.7279411764705882,0.8893333333333333,0.704626334519573,145,74,30,0.7115384615384616,0.5441176470588235,0.8773333333333333,0.6166666666666666,104
8,725,113,25,125,0.16666666666666666,0.22123893805309736,0.7062068965517241,0.19011406844106465,150,16,106,0.13114754098360656,0.1415929203539823,0.72,0.13617021276595745,122
9,1046,203,180,43,0.8071748878923767,0.8866995073891626,0.9369024856596558,0.8450704225352114,223,168,30,0.8484848484848485,0.8275862068965517,0.9378585086042065,0.8379052369077307,198
10,1099,205,151,133,0.5316901408450704,0.7365853658536585,0.8298453139217471,0.6175869120654397,284,132,100,0.5689655172413793,0.6439024390243903,0.8425841674249318,0.6041189931350115,232
11,774,86,74,126,0.37,0.8604651162790697,0.8217054263565892,0.5174825174825175,200,65,112,0.3672316384180791,0.7558139534883721,0.8281653746770026,0.49429657794676807,177
12,809,145,75,119,0.3865979381443299,0.5172413793103449,0.7663782447466008,0.44247787610619466,194,57,112,0.33727810650887574,0.3931034482758621,0.7527812113720643,0.3630573248407643,169
13,899,107,45,211,0.17578125,0.4205607476635514,0.696329254727475,0.24793388429752067,256,32,144,0.18181818181818182,0.29906542056074764,0.7563959955506118,0.22614840989399293,176
14,900,4,0,121,0.0,0.0,0.8611111111111112,0.0,121,0,89,0.0,0.0,0.8966666666666666,0.0,89
15,948,118,108,150,0.4186046511627907,0.9152542372881356,0.8312236286919831,0.574468085106383,258,101,128,0.4410480349344978,0.8559322033898306,0.8470464135021097,0.5821325648414986,229
16,1064,131,116,165,0.4128113879003559,0.8854961832061069,0.8308270676691729,0.5631067961165048,281,96,101,0.4873096446700508,0.732824427480916,0.8721804511278195,0.5853658536585367,197
17,742,133,66,4,0.9428571428571428,0.49624060150375937,0.9043126684636119,0.6502463054187193,70,44,4,0.9166666666666666,0.3308270676691729,0.8746630727762803,0.4861878453038673,48
18,636,128,63,63,0.5,0.4921875,0.7987421383647799,0.49606299212598426,126,30,25,0.5454545454545454,0.234375,0.8066037735849056,0.3278688524590164,55
19,975,239,165,43,0.7932692307692307,0.6903765690376569,0.88,0.738255033557047,208,113,15,0.8828125,0.47280334728033474,0.8553846153846154,0.6158038147138964,128
20,895,205,124,28,0.8157894736842105,0.6048780487804878,0.8782122905027933,0.6946778711484594,152,62,6,0.9117647058823529,0.3024390243902439,0.8335195530726257,0.45421245421245426,68
