Timestamp,Sleep stage
1737363732,Wake
1737363762,Wake
1737363792,Wake
1737363822,Wake
1737363852,Wake
1737363882,Wake
1737363912,Wake
1737363942,Wake
1737363972,Wake
1737364002,Wake
1737364032,Wake
1737364062,Wake
1737364092,Wake
1737364122,Wake
1737364152,Wake
1737364182,Wake
1737364212,Wake
1737364242,Wake
1737364272,Wake
1737364302,Wake
1737364332,Wake
1737364362,Wake
1737364392,Wake
1737364422,Wake
1737364452,Wake
1737364482,Wake
1737364512,Wake
1737364542,Wake
1737364572,Wake
1737364602,Wake
1737364632,Wake
1737364662,Wake
1737364692,Wake
1737364722,Wake
1737364752,Wake
1737364782,Wake
1737364812,Wake
1737364842,Wake
1737364872,Wake
1737364902,Wake
1737364932,Wake
1737364962,Wake
1737364992,Wake
1737365022,Wake
1737365052,Wake
1737365082,Wake
1737365112,Wake
1737365142,Wake
1737365172,Wake
1737365202,Wake
1737365232,Wake
1737365262,Wake
1737365292,Wake
1737365322,Wake
1737365352,Wake
1737365382,Wake
1737365412,Wake
1737365442,Wake
1737365472,Wake
1737365502,Wake
1737365532,Wake
1737365562,Wake
1737365592,Wake
1737365622,Wake
1737365652,Light
1737365682,Light
1737365712,Light
1737365742,Light
1737365772,Light
1737365802,Light
1737365832,Light
1737365862,Light
1737365892,Light
1737365922,Light
1737365952,Light
1737365982,Light
1737366012,Light
1737366042,Light
1737366072,Light
1737366102,Light
1737366132,Light
1737366162,Light
1737366192,Light
1737366222,Light
1737366252,Light
1737366282,Light
1737366312,Light
1737366342,Light
1737366372,Light
1737366402,Light
1737366432,Light
1737366462,Light
1737366492,Light
1737366522,Light
1737366552,Light
1737366582,Light
1737366612,Light
1737366642,Light
1737366672,Light
1737366702,Light
1737366732,Light
1737366762,Light
1737366792,Deep
1737366822,Deep
1737366852,Deep
1737366882,Deep
1737366912,Deep
1737366942,Deep
1737366972,Deep
1737367002,Deep
1737367032,Deep
1737367062,Deep
1737367092,Deep
1737367122,Deep
1737367152,Deep
1737367182,Deep
1737367212,Deep
1737367242,Deep
1737367272,Deep
1737367302,Deep
1737367332,Deep
1737367362,Deep
1737367392,Deep
1737367422,Deep
1737367452,Deep
1737367482,Deep
1737367512,Deep
1737367542,Deep
1737367572,Deep
1737367602,Deep
1737367632,Deep
1737367662,Deep
1737367692,Deep
1737367722,Deep
1737367752,Deep
1737367782,Deep
1737367812,Deep
1737367842,Deep
1737367872,Deep
1737367902,Deep
1737367932,Deep
1737367962,Deep
1737367992,Deep
1737368022,Deep
1737368052,Deep
1737368082,Deep
1737368112,Deep
1737368142,Deep
1737368172,Deep
1737368202,Deep
1737368232,Deep
1737368262,Deep
1737368292,Deep
1737368322,Deep
1737368352,Deep
1737368382,Deep
1737368412,Deep
1737368442,Deep
1737368472,Deep
1737368502,Deep
1737368532,Deep
1737368562,Deep
1737368592,Deep
1737368622,Deep
1737368652,Deep
1737368682,Deep
1737368712,Deep
1737368742,Deep
1737368772,Deep
1737368802,Deep
1737368832,Deep
1737368862,Deep
1737368892,Deep
1737368922,Deep
1737368952,Deep
1737368982,Deep
1737369012,Deep
1737369042,Deep
1737369072,Deep
1737369102,Deep
1737369132,Deep
1737369162,Deep
1737369192,Deep
1737369222,Deep
1737369252,Deep
