Timestamp,Signal quality
1737363746,Good
1737363756,Good
1737363766,Bad
1737363776,Good
1737363781,Bad
1737363786,Good
1737363791,Bad
1737363796,Good
1737363801,Good
1737363816,Bad
1737363821,Good
1737363826,Good
1737363836,Bad
1737363846,Good
1737363851,Bad
1737363861,Good
1737363881,Good
1737363886,Good
1737363891,Bad
1737363896,Good
1737363916,Good
1737363936,Bad
1737363941,Good
1737363946,Bad
1737363951,Good
1737363956,Good
1737363961,Good
1737363976,Bad
1737363986,Good
1737363991,Good
1737364026,Good
1737364031,Good
1737364041,Good
1737364046,Good
1737364056,Good
1737364066,Good
1737364081,Good
1737364091,Bad
1737364096,Good
1737364101,Good
1737364131,Good
1737364141,Good
1737364146,Bad
1737364161,Good
1737364221,Good
1737364226,Good
1737364241,Good
1737364246,Good
1737364256,Good
1737364261,Good
1737364286,Good
1737364296,Good
1737364306,Good
1737364311,Good
1737364316,Good
1737364321,Good
1737364326,Good
1737364336,Good
1737364341,Good
1737364346,Good
1737364351,Good
1737364366,Good
1737364371,Good
1737364381,Good
1737364391,Good
1737364401,Good
1737364406,Good
1737364411,Bad
1737364416,Good
1737364421,Good
1737364426,Good
1737364446,Good
1737364451,Good
1737364461,Good
1737364471,Good
1737364526,Good
1737364531,Good
1737364536,Good
1737364541,Good
1737364556,Good
1737364561,Good
1737364566,Good
1737364576,Good
1737364581,Good
1737364616,Good
1737364621,Good
1737364651,Bad
1737364671,Good
1737364681,Good
1737364706,Good
1737364716,Good
1737364771,Good
1737364776,Good
1737364781,Good
1737364791,Good
1737364796,Good
1737364801,Good
1737364806,Good
1737364816,Good
1737364821,Good
1737364836,Good
1737364841,Bad
1737364846,Good
1737364856,Good
1737364901,Good
1737364906,Good
1737364911,Good
1737364916,Good
1737364971,Good
1737364976,Good
1737364996,Good
1737365001,Good
1737365011,Good
1737365016,Good
1737365021,Good
1737365026,Good
1737365036,Good
1737365051,Good
1737365056,Good
1737365071,Good
1737365076,Good
1737365081,Good
1737365101,Good
1737365121,Good
1737365131,Good
1737365161,Good
1737365171,Good
1737365176,Good
1737365181,Good
1737365186,Good
1737365191,Good
1737365211,Good
1737365216,Good
1737365221,Good
1737365226,Good
1737365231,Good
1737365236,Good
1737365251,Good
1737365271,Good
1737365276,Good
1737365291,Good
1737365306,Good
1737365311,Good
1737365321,Good
1737365336,Good
1737365346,Good
1737365351,Good
1737365361,Good
1737365376,Good
1737365381,Good
1737365386,Good
1737365391,Good
1737365406,Good
1737365416,Good
1737365421,Good
1737365426,Good
1737365431,Good
1737365446,Good
1737365451,Good
1737365461,Good
1737365466,Good
1737365481,Good
1737365486,Good
1737365491,Good
1737365496,Good
1737365501,Good
1737365506,Good
1737365511,Good
1737365516,Good
