Epoch,Time_Hours,Ground_Truth,YASA_Raw,YASA_Mapped,Correct,YASA_Confidence
0,0.0,Wake,W,Wake,1,0.8386048880806838
1,0.008333333333333333,Wake,N3,Deep,0,0.39971265282479973
2,0.016666666666666666,Wake,N3,Deep,0,0.7316135033308587
3,0.025,Wake,N3,Deep,0,0.5826454352386427
4,0.03333333333333333,Wake,W,Wake,1,0.6487552717490768
5,0.041666666666666664,Wake,W,Wake,1,0.4611597894081726
6,0.05,Wake,N3,Deep,0,0.4646925903182893
7,0.058333333333333334,Wake,W,Wake,1,0.5550678346302363
8,0.06666666666666667,Wake,W,Wake,1,0.7296685814111992
9,0.075,Wake,W,Wake,1,0.5704894341475951
10,0.08333333333333333,Light,W,Wake,0,0.5349263222731709
11,0.09166666666666666,Light,W,Wake,0,0.36909392743127334
12,0.1,Light,N2,Light,1,0.6371800590128495
13,0.10833333333333334,Light,N2,Light,1,0.7084397849569265
14,0.11666666666666667,Light,N2,Light,1,0.803274255495126
15,0.125,Light,N2,Light,1,0.6626401980859965
16,0.13333333333333333,Light,N2,Light,1,0.7098162352932551
17,0.14166666666666666,Light,N2,Light,1,0.764312502342754
18,0.15,Light,N2,Light,1,0.7242457136226571
19,0.15833333333333333,Light,N2,Light,1,0.7118764428311024
20,0.16666666666666666,Light,N2,Light,1,0.6550524700965611
21,0.175,Light,N2,Light,1,0.73583374241975
22,0.18333333333333332,Light,N2,Light,1,0.8219327033639089
23,0.19166666666666668,Light,N2,Light,1,0.7053676312231072
24,0.2,Light,N2,Light,1,0.7406194770468157
25,0.20833333333333334,Light,N2,Light,1,0.6920585587257981
26,0.21666666666666667,Light,N2,Light,1,0.8334617482991853
27,0.225,Light,N2,Light,1,0.8477550273236254
28,0.23333333333333334,Light,N2,Light,1,0.8047913123009468
29,0.24166666666666667,Light,N2,Light,1,0.8088023916849368
30,0.25,Light,N2,Light,1,0.7952609787968654
31,0.25833333333333336,Light,N2,Light,1,0.7686978031851683
32,0.26666666666666666,Light,N2,Light,1,0.8746723052270825
33,0.275,Light,N2,Light,1,0.8499420113396856
34,0.2833333333333333,Light,N2,Light,1,0.8653495185394389
35,0.2916666666666667,Light,N2,Light,1,0.8637242212497271
36,0.3,Light,N2,Light,1,0.8545763554928508
37,0.30833333333333335,Light,N2,Light,1,0.851157834819205
38,0.31666666666666665,Light,N2,Light,1,0.8841162098564077
39,0.325,Light,N2,Light,1,0.9011199327015451
40,0.3333333333333333,Light,N2,Light,1,0.8493151949324301
41,0.3416666666666667,Light,N2,Light,1,0.8389878660714918
42,0.35,Light,N2,Light,1,0.8660231203321855
43,0.35833333333333334,Light,N2,Light,1,0.9064845605116536
44,0.36666666666666664,Light,N2,Light,1,0.8846655942385815
45,0.375,Light,N2,Light,1,0.8577759960963983
46,0.38333333333333336,Light,N2,Light,1,0.8943915295557285
47,0.39166666666666666,Light,N2,Light,1,0.8801866121151851
48,0.4,Light,N2,Light,1,0.7998650079525044
49,0.4083333333333333,Light,N2,Light,1,0.7896601495230973
50,0.4166666666666667,Light,N2,Light,1,0.7944728093599973
51,0.425,Light,N2,Light,1,0.7808342528559329
52,0.43333333333333335,Light,N2,Light,1,0.785532610429261
53,0.44166666666666665,Light,N2,Light,1,0.7813950780705259
54,0.45,Light,N2,Light,1,0.7109780610517744
55,0.4583333333333333,Deep,N2,Light,0,0.7783916793894493
56,0.4666666666666667,Deep,N2,Light,0,0.7264217670275414
57,0.475,Deep,N2,Light,0,0.7717701869392035
58,0.48333333333333334,Deep,N2,Light,0,0.7296009291563673
59,0.49166666666666664,Deep,N2,Light,0,0.7760673162478556
60,0.5,Deep,N2,Light,0,0.8115311821705871
61,0.5083333333333333,Deep,N2,Light,0,0.7367883107403647
62,0.5166666666666667,Deep,N2,Light,0,0.7166734355826851
63,0.525,Deep,N2,Light,0,0.717693233996091
64,0.5333333333333333,Deep,N2,Light,0,0.7307116672787285
65,0.5416666666666666,Light,N2,Light,1,0.7522420407185005
66,0.55,Light,N2,Light,1,0.8350847435947739
67,0.5583333333333333,Light,N2,Light,1,0.8447186926235456
68,0.5666666666666667,Light,N2,Light,1,0.7695697411561474
69,0.575,Light,N2,Light,1,0.8189125209311819
70,0.5833333333333334,Light,N2,Light,1,0.87230097420015
71,0.5916666666666667,Light,N2,Light,1,0.7492304801205552
72,0.6,Light,N2,Light,1,0.8409079212689685
73,0.6083333333333333,Light,N2,Light,1,0.8347633218808029
74,0.6166666666666667,Light,N2,Light,1,0.7070838580910614
75,0.625,Light,N2,Light,1,0.8389487010052019
76,0.6333333333333333,Light,N2,Light,1,0.5360978460008079
77,0.6416666666666667,Light,N2,Light,1,0.5373266657214366
78,0.65,Light,N2,Light,1,0.5509141265018707
79,0.6583333333333333,Light,N2,Light,1,0.5751147343123555
80,0.6666666666666666,Light,N2,Light,1,0.7277286162155435
81,0.675,Light,N2,Light,1,0.8439010397894235
82,0.6833333333333333,Light,N2,Light,1,0.8569571670374011
83,0.6916666666666667,Light,N2,Light,1,0.8540757599187839
84,0.7,Light,N2,Light,1,0.8485431318213545
85,0.7083333333333334,Light,N2,Light,1,0.8426016640568778
86,0.7166666666666667,Light,N2,Light,1,0.9128627830071698
87,0.725,Light,N2,Light,1,0.8060057369204124
88,0.7333333333333333,Light,N2,Light,1,0.9081728296776056
89,0.7416666666666667,Light,N2,Light,1,0.8628153033096018
90,0.75,Light,N2,Light,1,0.8249710612684448
91,0.7583333333333333,Deep,N2,Light,0,0.8693963777846253
92,0.7666666666666667,Deep,N2,Light,0,0.8397576449786989
93,0.775,Deep,N2,Light,0,0.8202368457502686
94,0.7833333333333333,Deep,N2,Light,0,0.8715962014003165
95,0.7916666666666666,Deep,N2,Light,0,0.8433225681953649
96,0.8,Deep,N2,Light,0,0.8469092483264075
97,0.8083333333333333,Deep,N2,Light,0,0.8658248391517198
98,0.8166666666666667,Deep,N2,Light,0,0.8134548953044122
99,0.825,Deep,N2,Light,0,0.8584835891349587
